sample_00000|Chào mừng các bạn đến với kênh Hoàng Vinh Radio Hôm nay mời các bạn tiếp tục nghe bộ truyện Tạc miêu.|Chào mừng các bạn đến với kênh Hoàng Vinh Radio Hôm nay mời các bạn tiếp tục nghe bộ truyện Tạc miêu.
sample_00001|của tác giả thiên hạ bá sướng Lại là một tác phẩm của thiên hạ bá sướng Tác giả.|của tác giả thiên hạ bá sướng Lại là một tác phẩm của thiên hạ bá sướng Tác giả.
sample_00002|của sơ ri truyện Ma Tổ Đèn hấp dẫn Cuối Triều Nhà Thanh.|của sơ ri truyện Ma Tổ Đèn hấp dẫn Cuối Triều Nhà Thanh.
sample_00003|Quân Thái Trương Bình Thiên Quốc đã nổ dậy Tiểu Biện Gã du thủ du thực làng Kim Quang.|Quân Thái Trương Bình Thiên Quốc đã nổ dậy Tiểu Biện Gã du thủ du thực làng Kim Quang.
sample_00004|Tình cờ lạc bước vào một ngôi mộ hoang Của quý phi đời trước.|Tình cờ lạc bước vào một ngôi mộ hoang Của quý phi đời trước.
sample_00005|gặp được bậc kỳ nhân lại được truyền cho một pho kỳ thư dạy môn xem tướng mèo tướng chó.|gặp được bậc kỳ nhân lại được truyền cho một pho kỳ thư dạy môn xem tướng mèo tướng chó.
sample_00006|đã thất truyền từ nhiều đời trước.|đã thất truyền từ nhiều đời trước.
sample_00007|Cũng từ đó hắn đã bị cuốn vào cái dòng chảy cuồn cuộn của lịch sử. Từ một kẻ khố rách áo ôm, Trương Tiểu Biện bỗng dưng trở thành một bậc anh hùng của thành Linh Châu.|Cũng từ đó hắn đã bị cuốn vào cái dòng chảy cuồn cuộn của lịch sử. Từ một kẻ khố rách áo ôm, Trương Tiểu Biện bỗng dưng trở thành một bậc anh hùng của thành Linh Châu.
sample_00009|chiến đấu với quang Thái Bình Thiên Quốc. Mỗi lần mà ngộ hiểm đều có Linh Miu tương trợ vượt qua nguy khốn.|chiến đấu với quang Thái Bình Thiên Quốc. Mỗi lần mà ngộ hiểm đều có Linh Miu tương trợ vượt qua nguy khốn.
sample_00010|nhưng mà lũ tặc Miu thần bí ấy liệu có thật sự mang vinh hoa phú quý đến cho Trương Tiểu Biện.|nhưng mà lũ tặc Miu thần bí ấy liệu có thật sự mang vinh hoa phú quý đến cho Trương Tiểu Biện.
sample_00011|như vị kỳ nhân kia đã nói hay tất cả chỉ là một cái bẫy lớn đã được bí mật dăng sẵn.|như vị kỳ nhân kia đã nói hay tất cả chỉ là một cái bẫy lớn đã được bí mật dăng sẵn.
sample_00012|để mà chờ hắn bước vào những câu chuyện ly kỳ khác thường nhưng mà lại được nói đến trong phương diện hoàn toàn khác.|để mà chờ hắn bước vào những câu chuyện ly kỳ khác thường nhưng mà lại được nói đến trong phương diện hoàn toàn khác.
sample_00013|một câu chuyện liên quan đến mèo.|một câu chuyện liên quan đến mèo.
sample_00014|Hãy cùng nghe và cảm nhận.|Hãy cùng nghe và cảm nhận.
sample_00015|Mời các bạn nghe tập một miêu tạc của tác giả Thiên Hạ Bá Sướng.|Mời các bạn nghe tập một miêu tạc của tác giả Thiên Hạ Bá Sướng.
sample_00016|Chúc các bạn nghe truyện vui vẻ.|Chúc các bạn nghe truyện vui vẻ.
sample_00017|Quyển một Chương một Chó hút Chuyện kể rằng hồi nọ có một ngôi làng.|Quyển một Chương một Chó hút Chuyện kể rằng hồi nọ có một ngôi làng.
sample_00018|tên là Kim Quang. Vì sao mà lại có tên như vậy chứ?|tên là Kim Quang. Vì sao mà lại có tên như vậy chứ?
sample_00019|Vốn là từ xưa tới nay quang quách của hoàng đế.|Vốn là từ xưa tới nay quang quách của hoàng đế.
sample_00020|quang quách của quý phi thì được gọi là kim quang tương truyền ngày xưa có một bà quý phi.|quang quách của quý phi thì được gọi là kim quang tương truyền ngày xưa có một bà quý phi.
sample_00021|Thưở sanh tiền rất được sủng ái, nhưng mà vì đắc tội với Thái Hậu phải nhận tam bang triều điển, tức là bị thắt cổ cho tới chết.|Thưở sanh tiền rất được sủng ái, nhưng mà vì đắc tội với Thái Hậu phải nhận tam bang triều điển, tức là bị thắt cổ cho tới chết.
sample_00022|Cũng bởi vì Quý Phi chết oan, cho nên đêm đến, hãy chợp mắt, Hoàng thượng và Thái hậu lại mơ thấy bà ta.|Cũng bởi vì Quý Phi chết oan, cho nên đêm đến, hãy chợp mắt, Hoàng thượng và Thái hậu lại mơ thấy bà ta.
sample_00023|mặc váy đỏ tới đòi mạng.|mặc váy đỏ tới đòi mạng.
sample_00024|Nhằm an ủi vong linh của bà Phi nọ, họ mới liền cho xây một ngôi mộ ở ngoài cõi xa.|Nhằm an ủi vong linh của bà Phi nọ, họ mới liền cho xây một ngôi mộ ở ngoài cõi xa.
sample_00025|để mai táng thi hài. Trước khi mai táng, cổ kim quan của bà Phi được quàn tạm trong ngôi chùa cổ.|để mai táng thi hài. Trước khi mai táng, cổ kim quan của bà Phi được quàn tạm trong ngôi chùa cổ.
sample_00026|của cái làng này cho nên từ đó về sau.|của cái làng này cho nên từ đó về sau.
sample_00027|từ tên làng đến tên chùa đã bị đổi thành làng Kim Quang, chùa Kim Quang. Tuy nhiên, câu chuyện này thật giả thế nào?|từ tên làng đến tên chùa đã bị đổi thành làng Kim Quang, chùa Kim Quang. Tuy nhiên, câu chuyện này thật giả thế nào?
sample_00028|đến các bậc cổ lão ở trong làng cũng không có biết rõ bà phi nọ ngậm hờn dưới suối vàng cũng đã hàng trăm.|đến các bậc cổ lão ở trong làng cũng không có biết rõ bà phi nọ ngậm hờn dưới suối vàng cũng đã hàng trăm.
sample_00029|hàng nghìn năm. Phần mộ đã hóa đất bằng, chẳng có còn biết đích xác.|hàng nghìn năm. Phần mộ đã hóa đất bằng, chẳng có còn biết đích xác.
sample_00030|ngôi mộ cổ giờ ở chỗ nào nữa. Chỉ còn lại cái tên làng Kim Quang và ngôi miếu cũ quang tàn.|ngôi mộ cổ giờ ở chỗ nào nữa. Chỉ còn lại cái tên làng Kim Quang và ngôi miếu cũ quang tàn.
sample_00031|chừng như muốn sập xuống bất cứ lúc nào làm chứng cho điều đó.|chừng như muốn sập xuống bất cứ lúc nào làm chứng cho điều đó.
sample_00032|Những ngói nát gạch vụn dường như vẫn còn đang âm thầm thuật lại câu chuyện xác thực.|Những ngói nát gạch vụn dường như vẫn còn đang âm thầm thuật lại câu chuyện xác thực.
sample_00033|của những năm tháng xa xưa.|của những năm tháng xa xưa.
sample_00034|Cho đến những năm cuối đời thanh, khởi nghĩa Thái Bình Thiên Quốc nổ ra.|Cho đến những năm cuối đời thanh, khởi nghĩa Thái Bình Thiên Quốc nổ ra.
sample_00035|trên quá nửa mảnh giang sơn. Lãnh tụ của Thái Bình Thiên Quốc là Hồng Tú Toàn, người Quảng Đông.|trên quá nửa mảnh giang sơn. Lãnh tụ của Thái Bình Thiên Quốc là Hồng Tú Toàn, người Quảng Đông.
sample_00036|Cuộc khởi nghĩa đã dấy lên ở vùng Quế Tây, Việt Đông, cũng thuộc đất Lưỡng Quảng.|Cuộc khởi nghĩa đã dấy lên ở vùng Quế Tây, Việt Đông, cũng thuộc đất Lưỡng Quảng.
sample_00037|Cho nên người ta mới thường gọi là loạn diệt khấu. Trăm họ quanh làng Kim Quang phải gánh chịu cái nỗi khổ chiến loạn kéo dài gần hai mươi năm. Quan quân và nghĩa quân.|Cho nên người ta mới thường gọi là loạn diệt khấu. Trăm họ quanh làng Kim Quang phải gánh chịu cái nỗi khổ chiến loạn kéo dài gần hai mươi năm. Quan quân và nghĩa quân.
sample_00039|Mỗi lần mà chiến sự qua đi, thay người.|Mỗi lần mà chiến sự qua đi, thay người.
sample_00040|Hầu như không có ai xử lý.|Hầu như không có ai xử lý.
sample_00041|Người dân quanh vùng, có muốn cũng không có thể mang đi chôn cất vì người chết quá nhiều.|Người dân quanh vùng, có muốn cũng không có thể mang đi chôn cất vì người chết quá nhiều.
sample_00042|dù số thân xác máu thịt, đành phải để phơi ngoài đồng hoang, mặc cho Chẳng chó tha quả rỉa. chẳng những thế.|dù số thân xác máu thịt, đành phải để phơi ngoài đồng hoang, mặc cho Chẳng chó tha quả rỉa. chẳng những thế.
sample_00043|cả bọn chó làng, lợn nuôi cũng đã tới ăn thịt người chết.|cả bọn chó làng, lợn nuôi cũng đã tới ăn thịt người chết.
sample_00044|Những con lợn hay ăn xác người, trông khác hẳn những con lợn thường, người tinh mắt liếc qua một cái là phân biệt được ngay.|Những con lợn hay ăn xác người, trông khác hẳn những con lợn thường, người tinh mắt liếc qua một cái là phân biệt được ngay.
sample_00045|Bọn lợn ăn xác ấy, béo út cho đến đáng sợ, da bóng lông mượt.|Bọn lợn ăn xác ấy, béo út cho đến đáng sợ, da bóng lông mượt.
sample_00046|cả đôi mắt nhìn người ta cũng lộ ra cái vẻ hung tợn. Tuy lợn béo thật, nhưng mà những người nào biết nguyên do.|cả đôi mắt nhìn người ta cũng lộ ra cái vẻ hung tợn. Tuy lợn béo thật, nhưng mà những người nào biết nguyên do.
sample_00047|thì cả đời cũng không có dám xơi thịt lợn nữa.|thì cả đời cũng không có dám xơi thịt lợn nữa.
sample_00048|Mà đến nhìn người khác ăn vào cũng còn thấy buồn nôn.|Mà đến nhìn người khác ăn vào cũng còn thấy buồn nôn.
sample_00049|Trong làng Kim Quang có một đứa trẻ mồ côi, họ Trương, con thứ ba.|Trong làng Kim Quang có một đứa trẻ mồ côi, họ Trương, con thứ ba.
sample_00050|Hai người chị đã chết yểu từ lâu, cho nên hắn tự xưng là Trương Tam.|Hai người chị đã chết yểu từ lâu, cho nên hắn tự xưng là Trương Tam.
sample_00051|cũng chẳng hiểu tên thật của hắn là gì chỉ biết bẩm sinh tóc của hắn vừa thưa vừa vàng.|cũng chẳng hiểu tên thật của hắn là gì chỉ biết bẩm sinh tóc của hắn vừa thưa vừa vàng.
sample_00052|tới mười lăm mười sáu tuổi cũng không có tết nổi cái bím đành phải dùng cỏ bện lại gắn bừa vào.|tới mười lăm mười sáu tuổi cũng không có tết nổi cái bím đành phải dùng cỏ bện lại gắn bừa vào.
sample_00053|thành một cái biếm nhỏ nhỏ trồng như cái đuôi chó. Phàm là người quen biết đều gọi hắn là Trương Tiểu Biện.|thành một cái biếm nhỏ nhỏ trồng như cái đuôi chó. Phàm là người quen biết đều gọi hắn là Trương Tiểu Biện.
sample_00054|Trương Tiểu Biện nghèo xơ xác không có lấy một tấc lều trú thân cho nên thường quanh quẩn ở trong ngôi chùa kim quang đổ nát.|Trương Tiểu Biện nghèo xơ xác không có lấy một tấc lều trú thân cho nên thường quanh quẩn ở trong ngôi chùa kim quang đổ nát.
sample_00055|Hắn đã hất đổ tượng đất. Trải ít rơm lên trên cái bệ tượng để mà ngủ. Ban ngày thường đến các nhà giúp gánh nước.|Hắn đã hất đổ tượng đất. Trải ít rơm lên trên cái bệ tượng để mà ngủ. Ban ngày thường đến các nhà giúp gánh nước.
sample_00056|làm việc Để mà kiếm chút rau cháo qua ngày. Hắn từng có lúc theo học vị sư phó của tiệm quan tài.|làm việc Để mà kiếm chút rau cháo qua ngày. Hắn từng có lúc theo học vị sư phó của tiệm quan tài.
sample_00057|Lại cũng tự nhận vị đạo sĩ bói toán làm thầy. Xong cái thời loạn lạc này Mấy ông thầy lo thân còn chẳng nổi.|Lại cũng tự nhận vị đạo sĩ bói toán làm thầy. Xong cái thời loạn lạc này Mấy ông thầy lo thân còn chẳng nổi.
sample_00058|Nói gì đến chuyện nuôi thêm đồ đệ. Thế là mấy cái nghề đó Hắn cũng chẳng có học được cho ra ngô ra khoai.|Nói gì đến chuyện nuôi thêm đồ đệ. Thế là mấy cái nghề đó Hắn cũng chẳng có học được cho ra ngô ra khoai.
sample_00059|Có những đoạn khó khăn, mấy ngày trời chẳng có gì ăn.|Có những đoạn khó khăn, mấy ngày trời chẳng có gì ăn.
sample_00060|Trương Tiểu Biện đành phải quay sang bắt gà trộm chó hàng đêm.|Trương Tiểu Biện đành phải quay sang bắt gà trộm chó hàng đêm.
sample_00061|để cho qua cơn đói khát. Hắn biết rằng, nhà của mình trước khi mà suy vi, có ông Tổ làm quan to trong kinh thành.|để cho qua cơn đói khát. Hắn biết rằng, nhà của mình trước khi mà suy vi, có ông Tổ làm quan to trong kinh thành.
sample_00062|Trong thâm tâm, vẫn thường tự hào lắm.|Trong thâm tâm, vẫn thường tự hào lắm.
sample_00063|Phải đi trộm cắp thế này, kể cũng lấy làm nhục.|Phải đi trộm cắp thế này, kể cũng lấy làm nhục.
sample_00064|Nhưng mà trong thời buổi, binh đao loạn lạc, kiếm được cái miếng ăn đâu phải là chuyện dễ.|Nhưng mà trong thời buổi, binh đao loạn lạc, kiếm được cái miếng ăn đâu phải là chuyện dễ.
sample_00065|Bụng đói thì khó nói mạnh, bàn gì đến chuyện xuất thân này nọ chứ.|Bụng đói thì khó nói mạnh, bàn gì đến chuyện xuất thân này nọ chứ.
sample_00066|Mấy năm rồi, thiên tai địch họa liên miên cái ăn ở trong làng cũng không còn sung túc như trước.|Mấy năm rồi, thiên tai địch họa liên miên cái ăn ở trong làng cũng không còn sung túc như trước.
sample_00067|Đến rào cháo qua bữa cũng khá vất vả.|Đến rào cháo qua bữa cũng khá vất vả.
sample_00068|Đêm hôm đó, Trương Tiểu Biện đói đến mức trằn trọc mãi không có ngủ được.|Đêm hôm đó, Trương Tiểu Biện đói đến mức trằn trọc mãi không có ngủ được.
sample_00069|Hắn mới nằm ngang trên cái bệ tượng thần, chân vắt chữ ngũ, ngửa mặt, nhìn cả ánh trăng xuyên lớm đớm qua mái chùa nát.|Hắn mới nằm ngang trên cái bệ tượng thần, chân vắt chữ ngũ, ngửa mặt, nhìn cả ánh trăng xuyên lớm đớm qua mái chùa nát.
